flight_number,arrival_airport,arrival_date,departure_airport,departure_date
XPY6327,ICA,2019-09-06,RJO,2019-11-20
PIK8521,NGZ,2019-08-21,UJB,2019-11-09
FDM6945,XUM,2019-10-10,YSV,2019-09-18
AOR4263,UCL,2019-06-05,UAP,2019-04-18
NXH6053,XPM,2019-05-28,SZA,2019-03-24
QTK8553,LUB,2019-12-07,HWJ,2019-03-12
RKA1614,YTU,2019-03-16,VEM,2019-01-10
LBT8036,SEQ,2019-06-18,HUI,2019-11-06
KFM0493,DVL,2019-02-13,NAK,2019-05-10
TKJ0847,VYU,2019-12-16,WLA,2019-03-20
DME4758,JRY,2019-04-10,JTX,2019-12-13
SLN0443,QED,2019-05-14,OAZ,2019-07-21
PYB4699,ENT,2019-02-22,AIJ,2019-11-27
ZSD6584,PQW,2019-11-28,PIA,2019-01-28
LMP5727,EZJ,2019-11-04,FYD,2019-05-09
LFH3740,OSH,2019-08-18,GIY,2019-08-15
IVR1488,OQD,2019-11-12,JBR,2019-08-28
UBJ0798,GYL,2019-06-10,VAF,2019-03-05
UEC6358,CDF,2019-03-13,HEB,2018-12-23
RVD3569,IJP,2019-05-15,FCQ,2019-06-14
APO2272,ROY,2019-08-02,OVL,2019-03-25
RVX1565,YIP,2019-04-28,GDI,2018-12-22
WQU8479,WEO,2019-03-16,TQC,2019-04-20
SDO7641,SHN,2019-07-06,JTB,2019-10-22
JDC8771,NYG,2019-04-04,WRQ,2019-12-01
BDG5501,SJW,2019-06-07,KDE,2019-02-13
BYP1224,YVS,2019-01-28,QCT,2019-08-23
PCZ5800,PCX,2019-06-03,MUL,2019-12-15
BWE1117,KWF,2019-10-17,DTF,2019-10-02
NXW3500,TLO,2019-09-28,QCP,2019-10-19
QWX9947,TRC,2019-01-14,WMS,2018-12-27
OSA2715,DOA,2019-09-03,RJM,2019-07-08
SIV4415,LJX,2019-05-31,EPZ,2019-10-20
HJZ7708,CNZ,2019-07-09,ETL,2019-05-05
PMG5214,HIC,2019-03-28,AFB,2019-04-18
TDQ3833,LGS,2019-06-09,ICP,2019-10-30
VOL2923,NIJ,2019-06-04,PDU,2019-09-18
KXT2721,EPJ,2019-11-18,XUK,2019-11-03
QAP4688,IZL,2019-11-06,YCA,2019-10-12
HAI9983,OVU,2019-09-22,DKX,2019-03-30
UKS5374,INM,2019-06-27,OYB,2019-10-14
HFU6461,SBI,2019-09-03,GXL,2019-04-22
FBQ4983,IVG,2019-01-01,KHX,2019-09-07
WLX9973,AOX,2019-09-28,TAG,2019-05-28
WIU3740,ZXE,2019-11-26,TFD,2018-12-27
IDG0834,XIR,2019-08-07,PQG,2019-01-05
SXR6616,BKG,2019-07-30,PZS,2019-09-01
VWI4721,HIA,2019-07-19,VBH,2019-01-13
SUX7134,KJZ,2019-06-08,XJW,2019-08-14
MLQ2352,CBQ,2019-04-03,GQU,2019-04-27
RQO1697,HRE,2019-06-29,FXU,2019-12-13
FIJ5938,XVI,2019-06-09,PHQ,2019-04-11
QJS6548,PCN,2019-12-03,KRN,2019-02-11
BFI5715,HTS,2019-10-15,UFH,2019-11-02
SVT4325,UML,2019-04-10,HQD,2019-07-25
EPM8492,LGF,2019-10-14,XUC,2019-10-22
FHP9240,DPM,2019-12-12,PYJ,2019-06-09
WAG8911,ADN,2019-08-26,YLG,2019-02-14
UFZ0675,JYH,2019-06-06,VCJ,2019-10-06
KVC8624,TPO,2019-08-08,ZSJ,2019-01-28
OQC4255,PAD,2019-06-25,KQR,2019-04-17
FPN0266,AZI,2018-12-22,ZTU,2019-05-08
MFH9116,KFJ,2019-10-12,ESK,2019-09-20
ZHT7621,OBK,2019-03-06,IUA,2019-06-11
GMT0388,ZWL,2019-08-10,KUE,2019-10-04
DPV7193,XPJ,2019-04-26,NGO,2019-12-01
JHW8175,VMX,2019-06-08,KWF,2019-02-10
EXF9988,BSV,2019-01-19,EUB,2019-07-06
VWR7163,NRT,2019-01-29,BMU,2019-06-29
TZQ8293,YLI,2019-06-05,GHL,2019-01-25
SPI5360,FIP,2019-10-17,FEK,2019-03-31
LSX2465,DHE,2019-12-12,YHK,2019-08-20
TLZ3893,SNC,2019-04-24,DYC,2019-02-15
JUC6755,WMB,2019-04-11,HDP,2019-02-02
QKE1711,SOF,2019-06-04,EBJ,2019-09-08
GBA0947,TBX,2019-09-08,PCI,2019-01-16
ZVG0489,MGE,2019-12-12,PNT,2019-10-22
LYE2923,KML,2019-06-20,NVT,2019-03-01
VTQ7905,SJQ,2019-05-02,QMW,2019-08-08
UHY4168,BDA,2019-09-27,INM,2019-06-02
XMD9095,YKU,2019-08-03,RAK,2019-10-31
QJM7136,JTG,2019-11-28,HDE,2019-01-05
XCG0844,WLS,2019-01-29,NZV,2019-10-05
IBG3091,GDZ,2019-02-20,HAO,2019-11-23
ACF3875,ILY,2019-02-09,VPJ,2019-12-06
CBI1969,WGP,2019-03-31,JKW,2019-08-08
DXZ3788,UOL,2019-02-20,IRO,2019-11-01
ORT5034,GDH,2019-01-22,PYG,2019-03-08
JRL5866,PWS,2019-05-13,PGE,2019-04-19
TIK7748,BKG,2019-07-24,LEO,2019-01-10
OSG6920,ONE,2019-02-14,ORE,2019-05-02
NOR5124,CAO,2019-05-28,XBF,2019-03-27
TQI5852,AWY,2019-09-25,IXT,2019-07-04
BWJ1487,JBY,2019-02-18,VCP,2019-02-22
UFL2940,EXI,2019-06-30,UNK,2018-12-30
UDM8196,EUV,2019-08-09,WNO,2019-06-13
VUJ1079,KFA,2019-11-01,AYQ,2019-02-10
IBS0194,VTO,2019-06-05,MKS,2019-05-22
FZS4330,EZL,2019-08-26,KOY,2019-09-28
WPS2951,PDI,2019-08-06,LVD,2019-03-24
